hrs,year,getahead,class,health,sex,educ,racehisp
38,2010,Hard work,Working class,Good,Male,9,Hispanic
,2010,Hard work,Lower class,Fair,Female,12,White
25,2010,Both equally,Working class,Fair,Male,20,Other
40,2010,Luck or help,Working class,Good,Male,16,Other
62,2010,Hard work,Working class,Good,Male,13,Hispanic
40,2010,Hard work,Working class,Good,Male,6,Hispanic
37,2010,Luck or help,Working class,Good,Female,12,Hispanic
,2010,Hard work,Working class,Fair,Female,8,Hispanic
47,2010,Hard work,Working class,Fair,Male,16,Black
40,2010,Hard work,Working class,Excellent,Female,12,Black
55,2010,Hard work,Upper class,Good,Male,16,White
25,2010,Luck or help,Lower class,Good,Male,14,White
,2010,Luck or help,Working class,Good,Male,15,White
,2010,Luck or help,Working class,Fair,Male,17,White
44,2010,Hard work,Middle class,Excellent,Female,20,White
50,2010,Hard work,Middle class,Good,Male,14,White
60,2010,Hard work,Middle class,Good,Male,16,White
,2010,Hard work,Working class,Excellent,Female,14,White
40,2010,Luck or help,Working class,Good,Male,12,White
50,2010,Both equally,Middle class,Good,Male,17,White
45,2010,Both equally,Middle class,Good,Female,19,White
,2010,Hard work,Middle class,Good,Male,20,White
52,2010,Hard work,Working class,Poor,Female,12,Hispanic
72,2010,Hard work,Working class,Excellent,Male,16,White
40,2010,Hard work,Middle class,Excellent,Male,16,White
70,2010,Both equally,Middle class,Excellent,Female,16,White
40,2010,Hard work,Working class,Excellent,Male,13,White
40,2010,Hard work,Middle class,Good,Female,19,Other
,2010,Luck or help,Middle class,Good,Female,18,Hispanic
50,2010,Hard work,Middle class,Excellent,Male,13,White
40,2010,Hard work,Working class,Good,Female,16,Hispanic
,2010,Luck or help,,Fair,Male,14,Black
,2010,Both equally,Middle class,Good,Female,20,Black
,2010,Hard work,Middle class,Fair,Female,17,Black
40,2010,Hard work,Working class,Excellent,Male,12,Black
,2010,Hard work,Working class,Good,Female,13,Black
25,2010,Hard work,Working class,Fair,Male,16,White
40,2010,Both equally,Middle class,Excellent,Male,17,White
,2010,Luck or help,Working class,Good,Female,16,White
25,2010,Hard work,Working class,Fair,Female,5,Hispanic
,2010,Hard work,Middle class,Poor,Female,12,Hispanic
,2010,Luck or help,Middle class,Fair,Female,12,Black
45,2010,Hard work,Middle class,Excellent,Female,16,White
,2010,Both equally,,Excellent,Female,12,White
64,2010,Hard work,Middle class,Excellent,Male,20,Other
33,2010,Both equally,Upper class,Good,Female,17,White
30,2010,Hard work,Middle class,Good,Female,17,Black
,2010,Both equally,Middle class,Good,Male,17,White
40,2010,Hard work,Middle class,Excellent,Male,12,White
,2010,Hard work,Working class,Good,Male,14,White
,2010,Hard work,Middle class,Good,Female,16,White
,2010,Hard work,Working class,Poor,Male,17,White
72,2010,Hard work,Middle class,Excellent,Male,20,White
60,2010,Hard work,Middle class,Fair,Male,14,White
,2010,Hard work,Middle class,Excellent,Female,12,White
,2010,Luck or help,Middle class,Poor,Female,16,White
,2010,Hard work,Upper class,Good,Female,14,White
,2010,Hard work,Middle class,Good,Male,15,White
37,2010,Hard work,Middle class,Good,Female,15,White
50,2010,Hard work,Middle class,Good,Male,14,White
42,2010,Both equally,Middle class,Fair,Male,14,White
30,2010,Luck or help,Middle class,Excellent,Female,16,White
40,2010,Luck or help,Working class,Good,Female,15,Black
20,2010,Hard work,Working class,Good,Female,13,Hispanic
40,2010,Hard work,Working class,Good,Female,12,White
,2010,Hard work,Working class,Excellent,Male,19,White
,2010,Hard work,Middle class,Fair,Female,12,White
,2010,Hard work,Middle class,Poor,Female,13,White
,2010,Hard work,Working class,Excellent,Female,14,White
,2010,Hard work,Middle class,Excellent,Female,20,White
54,2010,Hard work,Working class,Good,Female,14,Hispanic
38,2010,Both equally,Working class,Excellent,Female,12,Other
60,2010,Hard work,Middle class,Excellent,Female,13,White
8,2010,Hard work,Upper class,Fair,Male,20,White
6,2010,Hard work,Upper class,Good,Male,16,White
50,2010,Both equally,Upper class,Excellent,Male,18,White
45,2010,Hard work,Lower class,Excellent,Male,16,White
,2010,Hard work,Middle class,Fair,Female,16,White
46,2010,Hard work,Middle class,Good,Male,16,White
40,2010,Hard work,Lower class,Good,Male,10,Hispanic
16,2010,Hard work,Working class,Good,Female,12,Hispanic
,2010,Both equally,Middle class,Fair,Female,16,White
,2010,Both equally,Middle class,Good,Male,15,Black
32,2010,Hard work,Middle class,Excellent,Male,16,Black
52,2010,Hard work,Middle class,Good,Male,16,Black
34,2010,Hard work,Working class,Good,Male,14,White
15,2010,Both equally,Working class,Good,Female,13,Black
20,2010,Hard work,Working class,Good,Male,13,Other
30,2010,Hard work,Lower class,Fair,Male,17,Hispanic
,2010,Hard work,Working class,Fair,Female,16,White
,2010,Both equally,Middle class,Good,Male,19,White
60,2010,Hard work,Middle class,Good,Male,20,White
40,2010,Hard work,Middle class,Excellent,Female,16,White
,2010,Both equally,Working class,Fair,Female,15,Other
,2010,Hard work,Working class,Fair,Female,13,Black
,2010,Hard work,Middle class,Good,Male,20,White
,2010,Hard work,Working class,Good,Male,12,Hispanic
40,2010,Hard work,Working class,Fair,Female,12,Other
25,2010,Hard work,Middle class,Fair,Male,12,White
30,2010,Hard work,Middle class,Good,Female,12,White
,2010,Hard work,Working class,Excellent,Male,14,White
,2010,Hard work,Upper class,Good,Male,20,White
,2010,Both equally,Lower class,Excellent,Female,15,Other
42,2010,Hard work,Middle class,Good,Female,16,White
20,2010,Hard work,Middle class,Good,Male,11,White
,2010,Hard work,Middle class,Excellent,Male,16,White
,2010,Hard work,Middle class,Fair,Male,17,White
,2010,Hard work,Working class,Good,Female,12,White
35,2010,Both equally,Working class,Excellent,Male,20,White
,2010,Hard work,,Fair,Male,16,Black
40,2010,Luck or help,Working class,Excellent,Female,16,Black
37,2010,Hard work,Working class,Good,Female,13,Black
40,2010,Both equally,Middle class,Fair,Male,12,White
,2010,Hard work,Working class,Excellent,Female,12,White
,2010,Hard work,Working class,Excellent,Female,12,White
40,2010,Both equally,Middle class,Excellent,Female,12,Hispanic
,2010,Hard work,Working class,Good,Male,10,Hispanic
,2010,Hard work,Working class,Poor,Male,12,White
40,2010,Both equally,Working class,Good,Female,14,Black
51,2010,Hard work,Middle class,Good,Male,14,Hispanic
,2010,Hard work,Upper class,Excellent,Female,18,White
50,2010,Hard work,Working class,Fair,Female,9,Black
50,2010,Both equally,Middle class,Good,Female,18,Black
,2010,Hard work,Working class,Good,Female,14,Hispanic
40,2010,Hard work,Working class,Good,Female,18,Black
,2010,Luck or help,Working class,Good,Female,13,Other
40,2010,Both equally,Middle class,Good,Male,4,Other
11,2010,Hard work,Working class,Good,Female,12,White
48,2010,Hard work,Middle class,Good,Male,16,White
,2010,Hard work,Working class,Excellent,Female,16,White
50,2010,Hard work,Middle class,Excellent,Male,16,White
35,2010,Both equally,Middle class,Poor,Female,20,Hispanic
70,2010,Hard work,Middle class,Poor,Male,13,White
,2010,Luck or help,Working class,Excellent,Female,13,White
,2010,Hard work,Middle class,Good,Male,16,White
,2010,Luck or help,Working class,Good,Female,14,White
,2010,Hard work,Middle class,Excellent,Male,10,Hispanic
,2010,Hard work,Middle class,Excellent,Male,12,Other
40,2010,Hard work,Working class,Excellent,Male,12,Black
40,2010,Hard work,Working class,Fair,Female,12,Hispanic
40,2010,Hard work,Working class,Good,Male,9,Hispanic
40,2010,Hard work,Working class,Excellent,Female,14,Hispanic
30,2010,Luck or help,Working class,Good,Male,11,Hispanic
,2010,Hard work,Working class,Excellent,Male,5,Hispanic
,2010,Luck or help,Middle class,Fair,Male,12,White
,2010,Hard work,Middle class,Excellent,Female,12,Hispanic
46,2010,Hard work,Working class,Fair,Female,15,White
38,2010,Hard work,Working class,Fair,Female,12,White
,2010,Both equally,Working class,Good,Female,13,Black
40,2010,Both equally,Working class,Good,Female,12,Black
,2010,Hard work,Middle class,Excellent,Female,12,White
45,2010,Hard work,Middle class,Good,Male,17,White
42,2010,Hard work,Working class,Good,Female,13,White
27,2010,Both equally,Working class,Good,Female,14,White
20,2010,Hard work,Middle class,Good,Female,14,White
,2010,Hard work,Working class,Poor,Female,12,Black
,2010,Hard work,Upper class,Fair,Female,11,Hispanic
,2010,Hard work,Lower class,Excellent,Male,11,Black
,2010,Hard work,Working class,Good,Male,12,Black
,2010,Hard work,Upper class,Poor,Female,13,White
45,2010,Luck or help,Upper class,Good,Male,15,White
,2010,Both equally,Middle class,Fair,Female,15,Black
,2010,Hard work,Middle class,Good,Female,12,Black
40,2010,Hard work,Working class,Good,Female,16,Hispanic
30,2010,Luck or help,Working class,Fair,Female,11,Hispanic
38,2010,Hard work,Working class,Excellent,Male,12,White
40,2010,Hard work,Working class,Excellent,Female,13,White
,2010,Hard work,Middle class,Excellent,Male,16,White
32,2010,Hard work,Middle class,Fair,Female,10,White
,2010,Luck or help,,Fair,Female,11,Black
39,2010,Hard work,Working class,Good,Male,14,White
8,2010,Hard work,Middle class,Excellent,Male,15,White
40,2010,Hard work,Working class,Excellent,Female,16,White
40,2010,Hard work,Working class,Good,Female,12,Hispanic
,2010,Hard work,Lower class,Fair,Female,12,Black
40,2010,Hard work,Working class,Excellent,Male,12,White
,2010,Hard work,Working class,Fair,Female,6,Hispanic
,2010,Hard work,Lower class,Fair,Female,12,White
40,2010,Hard work,Working class,Fair,Male,11,White
,2010,Hard work,Working class,Good,Male,13,Black
,2010,Both equally,Lower class,Poor,Male,12,Black
,2010,Both equally,Middle class,Good,Female,16,White
,2010,Luck or help,Middle class,Excellent,Male,16,White
44,2010,Hard work,Middle class,Fair,Female,18,White
40,2010,Hard work,Working class,Excellent,Male,16,Black
40,2010,Hard work,Working class,Fair,Female,9,Hispanic
58,2010,Hard work,Working class,Good,Male,0,Hispanic
,2010,Both equally,Middle class,Excellent,Female,8,White
40,2010,Hard work,Middle class,Good,Female,16,Other
40,2010,Both equally,Middle class,Good,Female,14,White
38,2010,Both equally,Middle class,Good,Female,18,White
40,2010,Hard work,Middle class,Good,Male,16,Black
40,2010,Both equally,Middle class,Excellent,Female,16,Other
40,2010,Luck or help,Middle class,Excellent,Female,16,Other
10,2010,Hard work,Middle class,Fair,Female,16,White
,2010,Hard work,Working class,Poor,Male,13,White
,2010,Hard work,Middle class,Poor,Female,12,White
50,2010,Hard work,Middle class,Fair,Male,15,White
,2010,Hard work,Middle class,Good,Female,16,White
40,2010,Both equally,Working class,Excellent,Male,12,White
36,2010,Both equally,Working class,Fair,Male,12,Hispanic
,2010,Hard work,Working class,Excellent,Male,12,Black
45,2010,Both equally,Working class,Good,Female,12,White
22,2010,Hard work,Working class,Fair,Female,12,Hispanic
40,2010,Hard work,Middle class,Good,Male,20,Other
32,2010,Hard work,Middle class,Good,Female,17,White
,2010,Hard work,Working class,Fair,Female,9,Hispanic
48,2010,Hard work,Working class,Good,Male,13,White
25,2010,Hard work,Working class,Excellent,Female,13,White
,2010,Hard work,Working class,Good,Female,12,Hispanic
,2010,Hard work,Working class,Good,Male,12,Hispanic
55,2010,Hard work,Middle class,Excellent,Male,16,White
,2010,Hard work,Working class,Good,Female,11,Black
,2010,Hard work,Middle class,Fair,Female,12,Black
40,2010,Hard work,Working class,Excellent,Female,13,Hispanic
60,2010,Hard work,Middle class,Excellent,Male,12,Hispanic
40,2010,Hard work,Middle class,Good,Male,16,White
55,2010,Hard work,Middle class,Excellent,Female,20,White
,2010,Both equally,Middle class,Excellent,Female,16,White
54,2010,Hard work,Middle class,Good,Male,18,White
,2010,Hard work,Working class,Excellent,Female,11,Other
,2010,Hard work,Lower class,Poor,Female,9,White
50,2010,Hard work,Working class,Good,Male,14,White
58,2010,Hard work,Working class,Good,Male,14,White
,2010,Hard work,Working class,Good,Female,15,White
,2010,Hard work,Middle class,Good,Female,19,White
40,2010,Both equally,Middle class,Good,Male,17,White
50,2010,Both equally,Middle class,Excellent,Female,16,White
,2010,Hard work,Working class,Excellent,Female,13,Other
32,2010,Hard work,Middle class,Excellent,Female,16,White
15,2010,Both equally,Middle class,Excellent,Female,13,White
40,2010,Luck or help,Middle class,Good,Male,18,White
,2010,Both equally,Middle class,Good,Female,12,White
,2010,Hard work,Working class,Excellent,Female,15,White
,2010,Hard work,Middle class,Excellent,Male,14,Black
,2010,Both equally,Working class,Good,Female,16,Black
30,2010,Luck or help,Working class,Excellent,Male,14,Black
,2010,Luck or help,Working class,Poor,Female,13,White
40,2010,Hard work,Middle class,Good,Female,18,White
40,2010,Hard work,Middle class,Good,Male,12,White
25,2010,Hard work,Middle class,Excellent,Male,20,White
30,2010,Luck or help,Working class,Fair,Female,12,White
,2010,Hard work,Middle class,Fair,Female,18,Black
,2010,Hard work,Middle class,Excellent,Female,16,White
10,2010,Hard work,Middle class,Excellent,Female,16,White
40,2010,Both equally,Working class,Excellent,Female,16,Hispanic
48,2010,Hard work,Middle class,Good,Male,18,White
,2010,Luck or help,Lower class,Good,Male,14,Black
54,2010,Both equally,Middle class,Fair,Male,12,Hispanic
50,2010,Hard work,Middle class,Excellent,Male,18,White
40,2010,Both equally,Middle class,Good,Male,16,White
42,2010,Hard work,Working class,Good,Male,4,Hispanic
,2010,Hard work,Working class,Good,Female,13,Black
40,2010,Hard work,Working class,Good,Male,11,Hispanic
,2010,Hard work,Working class,Fair,Male,10,Hispanic
,2010,Hard work,Working class,Fair,Male,11,Hispanic
40,2010,Hard work,Working class,Good,Male,2,Hispanic
,2010,Hard work,Middle class,Good,Female,13,Black
6,2010,Hard work,Working class,Fair,Female,6,Hispanic
,2010,Luck or help,Middle class,Fair,Female,12,White
40,2010,Luck or help,Working class,Fair,Male,13,White
,2010,Hard work,Upper class,Good,Male,16,White
60,2010,Hard work,Middle class,Excellent,Male,12,White
,2010,Hard work,Middle class,Good,Male,12,White
4,2010,Hard work,Middle class,Good,Female,12,White
30,2010,Hard work,Middle class,Excellent,Female,20,White
18,2010,Both equally,Working class,Excellent,Female,13,White
47,2010,Hard work,Working class,Good,Female,12,White
,2010,Both equally,Lower class,Excellent,Male,12,White
40,2010,Hard work,Working class,Fair,Male,12,White
,2010,Hard work,Lower class,Good,Male,14,Hispanic
18,2010,Luck or help,Middle class,Good,Female,16,White
45,2010,Hard work,Working class,Good,Female,13,White
,2010,Hard work,Lower class,Fair,Female,12,Hispanic
70,2010,Both equally,Middle class,Good,Male,14,White
,2010,Luck or help,Working class,Excellent,Male,12,Hispanic
30,2010,Hard work,Lower class,Good,Male,12,Hispanic
,2010,Hard work,Middle class,Excellent,Female,12,White
,2010,Hard work,Middle class,Fair,Female,12,White
38,2010,Hard work,Middle class,Good,Male,14,White
41,2010,Hard work,Working class,Good,Female,12,White
38,2010,Hard work,Working class,Good,Female,17,White
40,2010,Hard work,Working class,Good,Male,13,White
,2010,Luck or help,Working class,Excellent,Female,16,White
45,2010,Hard work,Upper class,Good,Male,16,White
,2010,Both equally,Middle class,Good,Female,12,White
,2010,Hard work,Working class,Poor,Female,16,White
52,2010,Both equally,Middle class,Excellent,Male,16,White
72,2010,Both equally,Working class,Good,Female,15,Black
40,2010,Hard work,Working class,Fair,Male,12,Black
60,2010,Both equally,Middle class,Good,Male,12,White
,2010,Hard work,Working class,Good,Male,11,White
,2010,Hard work,Working class,Good,Male,12,White
50,2010,Hard work,Working class,Fair,Male,12,White
40,2010,Hard work,Middle class,Good,Male,12,White
49,2010,Both equally,Working class,Fair,Male,16,Black
40,2010,Hard work,Middle class,Excellent,Male,16,White
50,2010,Hard work,Working class,Excellent,Female,16,Black
42,2010,Luck or help,Working class,Good,Male,17,Black
,2010,Both equally,Working class,Good,Female,11,White
,2010,Hard work,Middle class,Good,Female,12,White
55,2010,Hard work,Working class,Good,Female,19,White
64,2010,Luck or help,Working class,Good,Male,12,Hispanic
60,2010,Hard work,Middle class,Good,Female,17,White
27,2010,Hard work,Working class,Fair,Male,12,White
,2010,Both equally,Middle class,Good,Female,14,White
,2010,Both equally,Middle class,Poor,Female,7,White
,2010,Hard work,Working class,Fair,Female,11,White
,2010,Hard work,Middle class,Fair,Male,12,White
64,2010,Hard work,Working class,Good,Female,12,White
,2010,Hard work,Working class,Excellent,Female,8,Hispanic
,2010,Hard work,Working class,Fair,Female,12,White
,2010,Hard work,Working class,Fair,Female,11,White
,2010,Hard work,Middle class,Good,Male,12,White
40,2010,Hard work,Working class,Fair,Male,12,White
28,2010,Hard work,Working class,Fair,Female,11,White
,2010,Hard work,Lower class,Good,Female,12,White
,2010,Hard work,Middle class,Good,Female,18,White
,2010,Both equally,Working class,Good,Male,11,White
37,2010,Both equally,Working class,Good,Female,16,White
45,2010,Hard work,Working class,Good,Female,13,White
,2010,Luck or help,Lower class,Fair,Male,10,Black
20,2010,Hard work,Working class,Excellent,Female,15,White
50,2010,Hard work,Middle class,Good,Male,16,White
,2010,Hard work,Lower class,Excellent,Male,18,White
,2010,Hard work,Middle class,Good,Female,5,White
,2010,Hard work,Middle class,Fair,Female,14,White
50,2010,Hard work,Working class,Good,Female,14,White
,2010,Both equally,Lower class,Fair,Male,12,White
,2010,Both equally,Working class,Good,Female,9,White
,2010,Hard work,Working class,Good,Female,15,White
40,2010,Both equally,Middle class,Good,Female,12,White
,2010,Both equally,Working class,Poor,Male,15,White
,2010,Hard work,,Good,Male,4,Black
,2010,Luck or help,Working class,Fair,Male,16,White
44,2010,Luck or help,Working class,Fair,Male,10,Hispanic
22,2010,Hard work,Working class,Good,Female,14,Hispanic
,2010,Hard work,Middle class,Good,Female,14,White
40,2010,Hard work,Working class,Good,Male,12,White
,2010,Both equally,Middle class,Good,Male,6,White
,2010,Luck or help,Working class,Fair,Male,8,White
,2010,Hard work,Middle class,Good,Male,16,White
89,2010,Hard work,Working class,Fair,Female,14,Black
40,2010,Both equally,Lower class,Excellent,Female,16,White
40,2010,Hard work,Middle class,Good,Male,16,White
60,2010,Both equally,Middle class,Fair,Male,16,White
,2010,Hard work,Working class,Excellent,Female,14,White
,2010,Both equally,Lower class,Fair,Female,13,Black
40,2010,Both equally,Middle class,Excellent,Female,18,White
40,2010,Both equally,Middle class,Good,Female,20,Other
,2010,Both equally,Middle class,Excellent,Male,20,White
,2010,Both equally,Lower class,Fair,Female,13,Black
60,2010,Both equally,Middle class,Excellent,Male,19,Black
,2010,Hard work,Middle class,Excellent,Female,11,Black
,2010,Luck or help,Lower class,Good,Male,12,Other
38,2010,Hard work,Working class,Good,Male,15,Hispanic
,2010,Hard work,Working class,Fair,Female,6,Hispanic
,2010,Hard work,Lower class,Good,Male,11,White
45,2010,Hard work,Middle class,Excellent,Female,19,White
50,2010,Both equally,Middle class,Excellent,Male,16,White
,2010,Both equally,Middle class,Excellent,Male,18,White
50,2010,Both equally,Middle class,Fair,Female,19,White
,2010,Hard work,Middle class,Excellent,Male,14,White
,2010,Both equally,Upper class,Good,Male,18,White
,2010,Hard work,Working class,Poor,Male,12,White
,2010,Hard work,Lower class,Excellent,Male,20,Black
30,2010,Hard work,Middle class,Fair,Male,19,Other
,2010,Hard work,Middle class,Good,Male,16,White
50,2010,Hard work,Middle class,Good,Male,20,White
40,2010,Hard work,Working class,Good,Male,13,Hispanic
40,2010,Both equally,Working class,Good,Male,10,White
40,2010,Hard work,Middle class,Excellent,Male,11,White
,2010,Hard work,Working class,Excellent,Male,15,Hispanic
50,2010,Hard work,Working class,Good,Female,16,White
52,2010,Hard work,Working class,Good,Female,14,White
,2010,Hard work,Working class,Good,Male,3,White
,2010,Hard work,Middle class,Poor,Female,12,White
,2010,Hard work,Working class,Good,Male,9,White
55,2010,Both equally,Middle class,Good,Male,16,Other
,2010,Hard work,Lower class,Fair,Male,12,White
50,2010,Both equally,Working class,Excellent,Male,15,White
9,2010,Hard work,Middle class,Good,Female,12,White
,2010,Hard work,Working class,Good,Male,12,White
40,2010,Hard work,Middle class,Good,Female,12,White
50,2010,Hard work,Middle class,Good,Male,16,Hispanic
32,2010,Hard work,Middle class,Excellent,Male,16,White
32,2010,Luck or help,Working class,Fair,Male,14,White
45,2010,Hard work,Working class,Excellent,Male,14,White
,2010,Hard work,Working class,Fair,Female,13,White
50,2010,Hard work,Middle class,Good,Female,16,White
40,2010,Hard work,Working class,Excellent,Female,13,Hispanic
40,2010,Hard work,Working class,Fair,Female,14,Black
50,2010,Hard work,Middle class,Good,Male,14,White
,2010,Both equally,Middle class,Excellent,Female,16,Black
38,2010,Hard work,Working class,Good,Female,14,White
,2010,Luck or help,Middle class,Poor,Female,16,Other
40,2010,Hard work,Working class,Fair,Female,12,White
,2010,Hard work,Working class,Fair,Female,11,Hispanic
,2010,Hard work,Middle class,Fair,Female,12,White
,2010,Hard work,Working class,Fair,Female,14,White
30,2010,Hard work,Working class,Excellent,Female,11,Black
45,2010,Hard work,Lower class,Good,Female,12,White
,2010,Both equally,Working class,Good,Female,14,White
50,2010,Luck or help,Upper class,Good,Male,16,White
,2010,Hard work,Middle class,Good,Female,18,White
,2010,Luck or help,Working class,Poor,Male,3,Hispanic
,2010,Luck or help,Middle class,Good,Female,13,Black
,2010,Hard work,Middle class,Good,Female,12,White
40,2010,Both equally,Working class,Good,Female,17,White
40,2010,Luck or help,Upper class,Excellent,Female,16,White
,2010,Hard work,Working class,Good,Male,9,White
30,2010,Luck or help,Working class,Excellent,Male,11,Black
40,2010,Hard work,Working class,Excellent,Male,13,White
50,2010,Hard work,,Good,Male,16,Other
,2010,Hard work,Middle class,Good,Male,18,White
26,2010,Hard work,Middle class,Excellent,Female,20,White
,2010,Hard work,Middle class,Good,Female,13,White
,2010,Hard work,Middle class,Fair,Male,19,White
32,2010,Both equally,Working class,Good,Male,13,White
40,2010,Luck or help,Working class,Fair,Male,16,White
,2010,Hard work,Upper class,Poor,Female,12,White
,2010,Both equally,Lower class,Fair,Male,12,Black
,2010,Hard work,Middle class,Good,Male,18,White
,2010,Hard work,Working class,Good,Female,18,Other
,2010,Hard work,Middle class,Good,Female,11,White
,2010,Hard work,Working class,Poor,Male,15,White
40,2010,Hard work,Lower class,Good,Female,6,Hispanic
40,2010,Hard work,Working class,Fair,Female,13,White
,2010,Hard work,Middle class,Good,Male,18,White
45,2010,Hard work,Working class,Good,Male,16,White
,2010,Hard work,Working class,Good,Female,12,White
40,2010,Hard work,Middle class,Good,Male,16,White
,2010,Both equally,Working class,Good,Female,12,White
,2010,Hard work,Middle class,Excellent,Female,13,White
55,2010,Hard work,Middle class,Fair,Female,20,White
65,2010,Hard work,Middle class,Poor,Female,18,White
32,2010,Both equally,Middle class,Fair,Male,17,White
40,2010,Hard work,Working class,Good,Female,16,White
40,2010,Hard work,Working class,Good,Male,8,White
,2010,Hard work,Middle class,Fair,Male,16,White
12,2010,Hard work,Middle class,Good,Female,20,White
,2010,Hard work,Working class,Fair,Female,12,White
,2010,Hard work,Working class,Fair,Female,11,White
,2010,Hard work,Working class,Good,Female,11,Black
,2010,Both equally,Middle class,Good,Female,12,White
,2010,Hard work,Middle class,Good,Male,12,White
56,2010,Hard work,Working class,Fair,Female,12,White
,2010,Hard work,Middle class,Fair,Female,12,White
44,2010,Hard work,Middle class,Good,Male,15,White
,2010,Hard work,Working class,Fair,Male,12,White
,2010,Hard work,Middle class,Fair,Female,12,White
,2010,Hard work,Working class,Good,Female,12,White
65,2010,Hard work,Middle class,Good,Female,12,White
