"","X","id","childs","age","agekdbrn","educ","class","memnum","racehisp","geography","religion","place","female","degree","agekdbrn_30plus"
"90",90,133,0,19,NA,11,"Working class",0,"White","Suburb","None","Northeast","No","Less Than HS",NA
"91",91,135,3,55,31,14,"Middle class",5,"White","Suburb","Catholic","Northeast","No","Some College",1
"92",92,136,3,32,25,18,"Middle class",3,"White","Suburb","Catholic","Northeast","Yes","Grad/Prof Degree",0
"93",93,137,2,28,NA,11,"Working class",2,"White","Smaller city","Protestant","Northeast","Yes","Less Than HS",NA
"94",94,139,0,50,NA,14,"Working class",0,"Hispanic","Suburb","None","Northeast","No","Some College",NA
"95",95,140,2,24,19,12,"Working class",2,"Hispanic","Suburb","Protestant","Northeast","Yes","HS Diploma",0
"96",96,142,4,78,NA,12,"Middle class",0,"White","Suburb","Protestant","Northeast","Yes","HS Diploma",NA
"97",97,143,0,50,NA,12,"Middle class",0,"White","Suburb","None","Northeast","Yes","HS Diploma",NA
"98",98,144,0,55,NA,16,"Working class",4,"White","Suburb","None","Northeast","Yes","College Degree",NA
"99",99,146,5,75,NA,12,"Working class",6,"Black","Suburb","Protestant","Northeast","Yes","HS Diploma",NA
"100",100,146,2,49,35,15,"Middle class",0,"White","Suburb","Catholic","Northeast","No","Some College",1
"101",101,149,0,28,NA,14,"Working class",0,"White","Suburb","Catholic","Northeast","No","Some College",NA
"102",102,151,4,61,30,9,"Middle class",2,"Hispanic","Suburb","Catholic","Northeast","No","Less Than HS",1
"103",103,152,0,35,NA,12,"Working class",1,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",NA
"104",104,155,0,32,NA,16,"Middle class",1,"White","Suburb","Catholic","Northeast","No","College Degree",NA
"105",105,156,4,58,28,12,"Middle class",1,"White","Smaller city","Catholic","Northeast","No","HS Diploma",0
"106",106,159,0,31,NA,16,"Middle class",2,"White","Suburb","Catholic","Northeast","No","College Degree",NA
"107",107,159,2,33,27,19,"Middle class",2,"White","Smaller city","Protestant","Northeast","No","Grad/Prof Degree",0
"108",108,160,1,58,31,12,"Working class",3,"White","Smaller city","Protestant","Northeast","No","HS Diploma",1
"109",109,162,2,41,NA,17,"Working class",3,"Other","Suburb","Catholic","Northeast","No","Grad/Prof Degree",NA
"110",110,163,1,33,32,16,"Middle class",1,"Hispanic","Suburb","Catholic","West","No","College Degree",1
"111",111,166,1,25,19,11,"Working class",1,"Hispanic","Suburb","Other","West","No","Less Than HS",0
"112",112,169,3,63,22,16,"Middle class",3,"White","Suburb","Protestant","West","No","College Degree",0
"113",113,171,3,67,25,16,"Upper class",3,"White","Suburb","Protestant","West","No","College Degree",0
"114",114,172,2,45,NA,12,"Middle class",2,"White","Suburb","Catholic","Northeast","Yes","HS Diploma",NA
"115",115,176,0,31,NA,16,"Middle class",1,"White","Suburb","Protestant","West","Yes","College Degree",NA
"116",116,177,2,74,25,18,"Middle class",0,"White","Suburb","None","West","No","Grad/Prof Degree",0
"117",117,178,2,62,33,17,"Upper class",4,"White","Suburb","Catholic","West","No","Grad/Prof Degree",1
"118",118,179,1,39,NA,17,"Middle class",3,"White","Suburb","Protestant","Northeast","No","Grad/Prof Degree",NA
"119",119,181,1,38,20,13,"Working class",1,"Black","Suburb","Protestant","West","Yes","Some College",0
"120",120,182,3,69,22,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",0
"121",121,183,5,35,20,6,"Working class",0,"Hispanic","Suburb","Protestant","West","No","Less Than HS",0
"122",122,184,4,59,20,13,"Lower class",0,"Hispanic","Suburb","Protestant","West","Yes","Some College",0
"123",123,185,3,76,26,14,"Middle class",0,"White","Suburb","Protestant","West","No","Some College",0
"124",124,191,4,29,NA,11,"Working class",3,"White","Suburb","None","West","Yes","Less Than HS",NA
"125",125,191,5,79,19,12,"Working class",0,"White","Suburb","Protestant","West","Yes","HS Diploma",0
"126",126,192,2,41,NA,13,"Middle class",2,"White","Suburb","Catholic","West","Yes","Some College",NA
"127",127,193,3,47,29,15,"Middle class",0,"White","Suburb","Other","West","No","Some College",0
"128",128,198,0,30,NA,12,"Middle class",0,"White","Suburb","None","West","No","HS Diploma",NA
"129",129,199,0,38,NA,14,"Middle class",1,"White","Suburb","None","West","No","Some College",NA
"130",130,199,0,64,NA,15,"Middle class",3,"White","Suburb","Protestant","West","Yes","Some College",NA
"131",131,201,1,28,NA,13,"Working class",3,"White","Suburb","None","West","Yes","Some College",NA
"132",132,203,2,64,21,14,"Middle class",0,"White","Suburb","Protestant","West","No","Some College",0
"133",133,204,3,38,21,15,"Working class",1,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
"134",134,205,3,49,22,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",0
"135",135,206,0,28,NA,14,"Working class",0,"White","Suburb","Protestant","West","No","Some College",NA
"136",136,207,1,24,22,11,"Working class",0,"Hispanic","Big city","None","West","No","Less Than HS",0
"137",137,210,0,24,NA,15,"Working class",2,"Hispanic","Suburb","Catholic","West","No","Some College",NA
"138",138,211,2,74,NA,13,"Middle class",5,"White","Suburb","Protestant","West","Yes","Some College",NA
"139",139,211,0,28,NA,14,"Working class",2,"Other","Suburb","Protestant","West","No","Some College",NA
"140",140,212,1,51,25,6,"Working class",0,"Other","Suburb","Eastern","West","No","Less Than HS",0
"141",141,214,0,30,NA,14,"Working class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",NA
"142",142,216,6,44,16,14,"Working class",3,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
"143",143,217,3,73,NA,16,"Middle class",5,"White","Big city","Protestant","West","No","College Degree",NA
"144",144,218,0,34,NA,16,"Middle class",2,"White","Big city","None","West","Yes","College Degree",NA
"145",145,220,1,31,27,13,"Middle class",2,"White","Suburb","Other","West","No","Some College",0
"146",146,223,3,55,23,16,"Middle class",3,"Hispanic","Suburb",NA,"West","No","College Degree",0
"147",147,224,2,32,NA,16,"Middle class",1,"Other","Big city","Other","West","Yes","College Degree",NA
"148",148,225,0,23,NA,12,"Working class",2,"Black","Suburb","Protestant","West","No","HS Diploma",NA
"149",149,227,5,36,17,11,"Middle class",1,"Hispanic","Suburb","Catholic","West","No","Less Than HS",0
"150",150,228,0,28,NA,17,"Working class",0,"White","Big city","Catholic","West","Yes","Grad/Prof Degree",NA
"151",151,229,3,26,20,12,"Working class",5,"Hispanic","Suburb","Catholic","West","Yes","HS Diploma",0
"152",152,230,5,33,18,13,"Lower class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
"153",153,230,0,29,NA,16,"Working class",0,"Other","Big city","Catholic","West","Yes","College Degree",NA
"154",154,232,0,40,NA,15,"Upper class",1,"White","Big city","Protestant","West","No","Some College",NA
"155",155,233,0,57,NA,17,"Middle class",2,"White","Big city","Protestant","West","No","Grad/Prof Degree",NA
"156",156,235,1,64,16,10,"Middle class",4,"White","Big city","Protestant","West","Yes","Less Than HS",0
"157",157,237,0,26,NA,14,"Middle class",1,"Hispanic","Big city","Catholic","West","Yes","Some College",NA
"158",158,238,0,28,NA,16,"Middle class",3,"Hispanic","Suburb","Catholic","West","Yes","College Degree",NA
"159",159,239,2,41,29,13,"Middle class",2,"White","Suburb","Protestant","West","Yes","Some College",0
"160",160,240,5,70,24,14,"Middle class",0,"White","Suburb","Catholic","West","No","Some College",0
"161",161,242,2,35,NA,13,"Working class",1,"White","Suburb","Catholic","West","Yes","Some College",NA
"162",162,243,1,40,40,18,"Middle class",6,"Black","Suburb","Protestant","West","No","Grad/Prof Degree",1
"163",163,246,1,71,NA,12,"Middle class",2,"White","Suburb","Catholic","West","Yes","HS Diploma",NA
"164",164,248,4,62,20,12,"Lower class",0,"White","Suburb","Other","West","Yes","HS Diploma",0
"165",165,248,2,42,NA,16,"Working class",1,"Other","Suburb","None","West","No","College Degree",NA
"166",166,250,1,59,30,18,"Middle class",1,"White","Big city","Jewish","West","Yes","Grad/Prof Degree",1
"167",167,252,4,62,19,11,"Middle class",0,"White","Suburb","None","West","No","Less Than HS",0
"168",168,253,3,49,27,17,"Middle class",4,"White","Suburb","Protestant","West","Yes","Grad/Prof Degree",0
"169",169,254,5,67,NA,12,"Working class",1,"White","Suburb","Catholic","West","No","HS Diploma",NA
"170",170,255,0,44,NA,14,"Lower class",1,"Hispanic","Suburb","Other","West","No","Some College",NA
"171",171,258,0,50,NA,12,"Middle class",3,"White","Suburb","Jewish","West","No","HS Diploma",NA
"172",172,259,2,44,37,20,"Upper class",3,"White","Suburb","Jewish","West","Yes","Grad/Prof Degree",1
"173",173,260,0,28,NA,17,"Middle class",0,"White","Suburb","Jewish","West","No","Grad/Prof Degree",NA
"174",174,261,2,62,NA,19,"Middle class",2,"White","Suburb","Catholic","West","Yes","Grad/Prof Degree",NA
"175",175,261,0,24,NA,17,"Working class",4,"Hispanic","Big city","Catholic","Midwest","Yes","Grad/Prof Degree",NA
"176",176,262,0,20,NA,14,"Middle class",4,"Hispanic","Big city","Catholic","Midwest","No","Some College",NA
"177",177,264,0,38,NA,12,"Middle class",0,"Hispanic","Big city","None","Midwest","No","HS Diploma",NA
"178",178,265,0,20,NA,12,"Working class",0,"White","Suburb","Catholic","West","Yes","HS Diploma",NA
"179",179,266,1,24,23,11,"Working class",0,"Black","Big city","None","Midwest","Yes","Less Than HS",0
"180",180,267,1,54,17,14,"Working class",1,"Black","Big city","Protestant","Midwest","Yes","Some College",0
"181",181,267,2,71,NA,14,"Working class",1,"White","Suburb","Other","West","No","Some College",NA
"182",182,268,0,49,NA,20,"Middle class",8,"White","Big city","Catholic","Midwest","No","Grad/Prof Degree",NA
"183",183,269,1,32,29,16,"Working class",0,"White","Big city","Other","Midwest","Yes","College Degree",0
"184",184,270,0,27,NA,16,"Middle class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",NA
"185",185,271,0,25,NA,15,"Working class",0,"Hispanic","Big city","Catholic","Midwest","No","Some College",NA
"186",186,276,2,64,NA,14,"Middle class",1,"White","Smaller city","Catholic","West","Yes","Some College",NA
"187",187,276,3,36,21,12,"Middle class",0,"White","Suburb","Catholic","Midwest","Yes","HS Diploma",0
"188",188,277,0,19,NA,13,"Working class",2,"White","Suburb","Other","Midwest","No","Some College",NA
"189",189,278,0,60,NA,16,"Middle class",1,"White","Big city","Protestant","Midwest","Yes","College Degree",NA
"190",190,279,1,32,NA,13,"Middle class",1,"White","Smaller city","None","West","Yes","Some College",NA
"191",191,280,0,39,NA,18,"Middle class",2,"White","Big city","Protestant","Midwest","Yes","Grad/Prof Degree",NA
"192",192,281,0,28,NA,16,"Middle class",2,"White","Big city","Protestant","Midwest","No","College Degree",NA
"193",193,284,4,42,27,19,"Middle class",3,"White","Suburb","Catholic","Midwest","Yes","Grad/Prof Degree",0
"194",194,285,2,46,28,16,"Middle class",6,"White","Suburb","Catholic","Midwest","No","College Degree",0
"195",195,285,0,30,NA,10,"Working class",1,"White","Suburb","None","West","No","Less Than HS",NA
"196",196,287,2,42,NA,12,"Working class",4,"Black","Suburb","Other","West","No","HS Diploma",NA
"197",197,287,2,35,27,16,"Working class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",0
"198",198,289,3,53,22,16,"Working class",0,"White","Big city","Catholic","Midwest","Yes","College Degree",0
"199",199,290,1,50,39,14,"Middle class",1,"White","Big city","Catholic","Midwest","Yes","Some College",1
"200",200,292,5,45,22,12,"Middle class",3,"White","Big city","Catholic","Midwest","Yes","HS Diploma",0
"201",201,293,2,40,NA,14,"Working class",1,"Black","Big city","Protestant","West","Yes","Some College",NA
"202",202,294,1,22,NA,12,"Lower class",1,"White","Big city","Protestant","West","Yes","HS Diploma",NA
"203",203,294,3,49,33,14,"Middle class",2,"White","Big city","Other","Midwest","No","Some College",1
"204",204,296,0,25,NA,16,"Middle class",2,"White","Suburb","Catholic","Midwest","Yes","College Degree",NA
"205",205,298,4,37,NA,11,"Working class",0,"White","Big city","Catholic","West","No","Less Than HS",NA
"206",206,299,3,75,NA,12,"Middle class",2,"White","Big city","Protestant","West","No","HS Diploma",NA
"207",207,299,0,46,NA,16,"Middle class",0,"White","Suburb","Catholic","Midwest","No","College Degree",NA
"208",208,300,0,23,NA,14,"Middle class",1,"White","Suburb","Catholic","Midwest","No","Some College",NA
"209",209,301,2,39,28,16,"Middle class",4,"White","Suburb","Catholic","Midwest","Yes","College Degree",0
"210",210,302,0,22,NA,14,"Middle class",0,"Other","Suburb","Catholic","Midwest","Yes","Some College",NA
"211",211,305,2,46,40,13,"Middle class",0,"Hispanic","Suburb","Catholic","Midwest","No","Some College",1
"212",212,309,2,41,35,12,"Working class",0,"White","Suburb","Protestant","Midwest","No","HS Diploma",1
"213",213,310,0,20,NA,12,"Middle class",0,"White","Suburb","Protestant","West","No","HS Diploma",NA
"214",214,313,0,34,NA,18,"Middle class",0,"Other","Suburb","Other","West","No","Grad/Prof Degree",NA
"215",215,313,2,56,24,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
"216",216,314,1,42,NA,16,"Middle class",0,"White","Suburb","Protestant","West","Yes","College Degree",NA
"217",217,316,3,50,24,16,"Middle class",3,"White","Suburb","Protestant","Midwest","Yes","College Degree",0
"218",218,317,2,48,28,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
"219",219,320,3,60,25,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",0
"220",220,322,1,43,37,12,"Middle class",0,"White","Suburb","Catholic","Midwest","No","HS Diploma",1
"221",221,323,3,52,19,15,"Middle class",4,"White","Suburb","Catholic","Midwest","Yes","Some College",0
"222",222,324,2,54,NA,12,"Middle class",1,"White","Big city","Catholic","Midwest","No","HS Diploma",NA
"223",223,324,1,24,22,15,"Working class",0,"Black","Suburb","Protestant","Midwest","Yes","Some College",0
"224",224,325,2,28,NA,12,"Working class",0,"White","Big city","Catholic","Midwest","Yes","HS Diploma",NA
"225",225,326,2,62,20,15,"Middle class",0,"Black","Suburb","Protestant","Midwest","No","Some College",0
"226",226,327,1,49,NA,8,"Working class",2,"White","Big city","Catholic","Midwest","No","Less Than HS",NA
"227",227,328,1,37,35,16,"Working class",0,"White","Suburb","None","Midwest","Yes","College Degree",1
"228",228,330,3,54,22,15,"Lower class",8,"Black","Suburb","Protestant","Midwest","No","Some College",0
"229",229,331,1,24,21,13,"Lower class",0,"Black","Suburb","Catholic","Midwest","Yes","Some College",0
"230",230,333,2,35,18,12,"Middle class",0,"Black","Smaller city","None","West","No","HS Diploma",0
"231",231,335,1,49,17,13,"Working class",0,"Other","Smaller city","Catholic","West","Yes","Some College",0
"232",232,336,0,24,NA,16,"Middle class",7,"White","Smaller city","None","West","No","College Degree",NA
"233",233,337,0,50,NA,16,"Middle class",0,"White","Smaller city","None","West","Yes","College Degree",NA
"234",234,339,1,41,30,17,"Middle class",2,"White","Smaller city","Catholic","West","No","Grad/Prof Degree",1
"235",235,340,5,82,21,16,"Middle class",7,"White","Smaller city","Catholic","West","Yes","College Degree",0
"236",236,342,1,44,34,20,"Middle class",2,"Other","Smaller city","None","West","No","Grad/Prof Degree",1
"237",237,344,2,28,24,12,"Middle class",0,"Hispanic","Suburb","Protestant","West","Yes","HS Diploma",0
"238",238,345,2,45,NA,11,"Lower class",0,"Black","Big city","Protestant","Midwest","Yes","Less Than HS",NA
"239",239,345,5,33,18,14,"Middle class",0,"White","Suburb","None","West","Yes","Some College",0
"240",240,346,0,40,NA,12,"Working class",0,"White","Suburb","None","West","No","HS Diploma",NA
"241",241,349,5,41,19,14,"Lower class",0,"Hispanic","Suburb","Catholic","West","Yes","Some College",0
"242",242,350,2,58,32,16,"Middle class",4,"White","Suburb","Catholic","West","No","College Degree",1
"243",243,351,2,53,NA,14,"Middle class",0,"Black","Big city","Protestant","Midwest","Yes","Some College",NA
"244",244,353,3,37,28,16,"Middle class",4,"White","Suburb","Catholic","West","Yes","College Degree",0
"245",245,354,3,67,22,14,"Middle class",2,"White","Suburb","Protestant","West","No","Some College",0
"246",246,355,2,46,24,14,"Working class",0,"Other","Suburb","Protestant","West","Yes","Some College",0
"247",247,356,4,57,NA,14,"Working class",1,"Black","Suburb","None","Midwest","No","Some College",NA
"248",248,356,0,35,NA,12,"Middle class",2,"White","Suburb","None","West","No","HS Diploma",NA
"249",249,358,1,81,22,12,"Middle class",1,"White","Suburb","Jewish","West","No","HS Diploma",0
"250",250,359,2,57,27,16,"Working class",0,"Other","Suburb","Catholic","West","Yes","College Degree",0
"251",251,360,4,32,19,12,"Working class",4,"White","Suburb","Catholic","West","Yes","HS Diploma",0
"252",252,360,1,34,NA,16,"Middle class",0,"White","Suburb","Catholic","Midwest","No","College Degree",NA
"253",253,361,3,42,23,12,"Middle class",3,"Other","Suburb","Catholic","West","Yes","HS Diploma",0
"254",254,363,1,48,32,15,"Middle class",5,"White","Suburb","Jewish","West","Yes","Some College",1
"255",255,365,3,51,37,18,"Middle class",2,"White","Suburb","Catholic","West","No","Grad/Prof Degree",1
"256",256,366,5,89,25,16,"Middle class",2,"White","Suburb","Catholic","West","No","College Degree",0
"257",257,367,1,33,NA,15,"Working class",0,"White","Suburb","Catholic","Midwest","Yes","Some College",NA
"258",258,369,0,47,NA,10,"Middle class",0,"Other","Smaller city","Eastern","West","No","Less Than HS",NA
"259",259,370,2,53,39,17,"Middle class",2,"White","Smaller city","None","West","Yes","Grad/Prof Degree",1
"260",260,372,3,66,19,13,"Middle class",0,"White","Smaller city","None","West","Yes","Some College",0
"261",261,373,3,68,26,18,"Middle class",4,"White","Suburb","Catholic","West","Yes","Grad/Prof Degree",0
"262",262,374,2,55,20,12,"Working class",0,"White","Suburb","Catholic","West","No","HS Diploma",0
"263",263,375,1,32,32,19,"Middle class",2,"White","Suburb","None","West","Yes","Grad/Prof Degree",1
"264",264,377,1,44,33,16,"Middle class",2,"White","Smaller city","Catholic","West","No","College Degree",1
"265",265,378,4,67,20,12,"Lower class",0,"White","Smaller city","Catholic","West","Yes","HS Diploma",0
"266",266,381,1,38,35,16,"Middle class",4,"White","Smaller city","Protestant","West","Yes","College Degree",1
"267",267,382,1,69,24,16,"Middle class",2,"White","Smaller city","None","West","No","College Degree",0
"268",268,385,2,40,22,16,"Middle class",2,"White","Smaller city","None","West","Yes","College Degree",0
